gamename,Period,avg
Counter-Strike: Global Offensive,104,741013.24
Counter-Strike: Global Offensive,103,743209.66
Counter-Strike: Global Offensive,102,717803.75
Counter-Strike: Global Offensive,101,668754.58
Counter-Strike: Global Offensive,100,613666.69
Counter-Strike: Global Offensive,99,606850.32
Counter-Strike: Global Offensive,98,639957.66
Counter-Strike: Global Offensive,97,625900.81
Counter-Strike: Global Offensive,96,671647.46
Counter-Strike: Global Offensive,95,768795.25
Counter-Strike: Global Offensive,94,857604.22
Counter-Strike: Global Offensive,93,671033.29
Counter-Strike: Global Offensive,92,543979.15
Counter-Strike: Global Offensive,91,501196
Counter-Strike: Global Offensive,90,456701.56
Counter-Strike: Global Offensive,89,426080.81
Counter-Strike: Global Offensive,88,408995.31
Counter-Strike: Global Offensive,87,410925.6
Counter-Strike: Global Offensive,86,415097.3
Counter-Strike: Global Offensive,85,393782.83
Counter-Strike: Global Offensive,84,389376.72
Counter-Strike: Global Offensive,83,364417.31
Counter-Strike: Global Offensive,82,351989.92
Counter-Strike: Global Offensive,81,390240.16
Counter-Strike: Global Offensive,80,371358.96
Counter-Strike: Global Offensive,79,401366.87
Counter-Strike: Global Offensive,78,395509.26
Counter-Strike: Global Offensive,77,310085.43
Counter-Strike: Global Offensive,76,325907.82
Counter-Strike: Global Offensive,75,333163.99
Counter-Strike: Global Offensive,74,283531.31
Counter-Strike: Global Offensive,73,273307.26
Counter-Strike: Global Offensive,72,266862.24
Counter-Strike: Global Offensive,71,262170.88
Counter-Strike: Global Offensive,70,289076.7
Counter-Strike: Global Offensive,69,354270.33
Counter-Strike: Global Offensive,68,382457.1
Counter-Strike: Global Offensive,67,382030.53
Counter-Strike: Global Offensive,66,340876.88
Counter-Strike: Global Offensive,65,321131.4
Counter-Strike: Global Offensive,64,341861.26
Counter-Strike: Global Offensive,63,354402.09
Counter-Strike: Global Offensive,62,374425.69
Counter-Strike: Global Offensive,61,377589.04
Counter-Strike: Global Offensive,60,374388.04
Counter-Strike: Global Offensive,59,371829.34
Counter-Strike: Global Offensive,58,392199.19
Counter-Strike: Global Offensive,57,386908.72
Counter-Strike: Global Offensive,56,402385.71
Counter-Strike: Global Offensive,55,393109.53
Counter-Strike: Global Offensive,54,342195.7
Counter-Strike: Global Offensive,53,329045.26
Counter-Strike: Global Offensive,52,333076.46
Counter-Strike: Global Offensive,51,322525.89
Counter-Strike: Global Offensive,50,347229.25
Counter-Strike: Global Offensive,49,353777.56
Counter-Strike: Global Offensive,48,334311.06
Counter-Strike: Global Offensive,47,338738.39
Counter-Strike: Global Offensive,46,375795.87
Counter-Strike: Global Offensive,45,379426.95
Counter-Strike: Global Offensive,44,376285.02
Counter-Strike: Global Offensive,43,365371.09
Counter-Strike: Global Offensive,42,377447.11
Counter-Strike: Global Offensive,41,360925.88
Counter-Strike: Global Offensive,40,362766.09
Counter-Strike: Global Offensive,39,355905.33
Counter-Strike: Global Offensive,38,357535.24
Counter-Strike: Global Offensive,37,329532.38
Counter-Strike: Global Offensive,36,344156.01
Counter-Strike: Global Offensive,35,317286.29
Counter-Strike: Global Offensive,34,291748.74
Counter-Strike: Global Offensive,33,267996.31
Counter-Strike: Global Offensive,32,239934.64
Counter-Strike: Global Offensive,31,234070.68
Counter-Strike: Global Offensive,30,183589.5
Counter-Strike: Global Offensive,29,147329.07
Counter-Strike: Global Offensive,28,133537.7
Counter-Strike: Global Offensive,27,131034.68
Counter-Strike: Global Offensive,26,133185.79
Counter-Strike: Global Offensive,25,106138
Counter-Strike: Global Offensive,24,84163.62
Counter-Strike: Global Offensive,23,84925.02
Counter-Strike: Global Offensive,22,78880.53
Counter-Strike: Global Offensive,21,70143.33
Counter-Strike: Global Offensive,20,59791.37
Counter-Strike: Global Offensive,19,55627.35
Counter-Strike: Global Offensive,18,46788.27
Counter-Strike: Global Offensive,17,29890.52
Counter-Strike: Global Offensive,16,27902.14
Counter-Strike: Global Offensive,15,27678.91
Counter-Strike: Global Offensive,14,25961.85
Counter-Strike: Global Offensive,13,20492.52
Counter-Strike: Global Offensive,12,18119.84
Counter-Strike: Global Offensive,11,18710.34
Counter-Strike: Global Offensive,10,16006
Counter-Strike: Global Offensive,9,15959.89
Counter-Strike: Global Offensive,8,17372.73
Counter-Strike: Global Offensive,7,16164.22
Counter-Strike: Global Offensive,6,14079.39
Counter-Strike: Global Offensive,5,14134.1
Counter-Strike: Global Offensive,4,10739.48
Counter-Strike: Global Offensive,3,16000.75
Counter-Strike: Global Offensive,2,15475.39
Counter-Strike: Global Offensive,1,932.57
Dota 2,104,404832.13
Dota 2,103,432671.65
Dota 2,102,422552.32
Dota 2,101,425904.83
Dota 2,100,406361.36
Dota 2,99,408609.78
Dota 2,98,429717.12
Dota 2,97,450213.99
Dota 2,96,457184.42
Dota 2,95,484189.02
Dota 2,94,493300.27
Dota 2,93,437147.36
Dota 2,92,405978.65
Dota 2,91,378925.43
Dota 2,90,384179.76
Dota 2,89,401931.8
Dota 2,88,388355.86
Dota 2,87,421971.24
Dota 2,86,467148.29
Dota 2,85,464787.61
Dota 2,84,507528.44
Dota 2,83,548523.18
Dota 2,82,520218.98
Dota 2,81,586505.85
Dota 2,80,564909.67
Dota 2,79,475747
Dota 2,78,439367.83
Dota 2,77,461073.48
Dota 2,76,431173.91
Dota 2,75,466470.74
Dota 2,74,476101.08
Dota 2,73,441714.35
Dota 2,72,473900
Dota 2,71,474325.87
Dota 2,70,430340.94
Dota 2,69,437262.35
Dota 2,68,438847.72
Dota 2,67,486861.91
Dota 2,66,513074.33
Dota 2,65,487381.24
Dota 2,64,466126.79
Dota 2,63,491450.16
Dota 2,62,556496.3
Dota 2,61,498444.38
Dota 2,60,555289.07
Dota 2,59,567526.42
Dota 2,58,540278.03
Dota 2,57,548435.44
Dota 2,56,591567.25
Dota 2,55,580281.47
Dota 2,54,593920.6
Dota 2,53,584251.33
Dota 2,52,639355.14
Dota 2,51,622583.9
Dota 2,50,666013.05
Dota 2,49,638212.65
Dota 2,48,640226.98
Dota 2,47,623798.67
Dota 2,46,656944.37
Dota 2,45,672554.89
Dota 2,44,709178.26
Dota 2,43,612174.78
Dota 2,42,573344.25
Dota 2,41,539536.33
Dota 2,40,521941.72
Dota 2,39,508156.85
Dota 2,38,606943.98
Dota 2,37,554991.01
Dota 2,36,568448.32
Dota 2,35,580348.42
Dota 2,34,526061.73
Dota 2,33,571713.15
Dota 2,32,628970.41
Dota 2,31,558504.33
Dota 2,30,523940.32
Dota 2,29,528789.8
Dota 2,28,495693.04
Dota 2,27,477998.45
Dota 2,26,490883.89
Dota 2,25,537018.66
Dota 2,24,513783.06
Dota 2,23,482387.24
Dota 2,22,421710.21
Dota 2,21,409755.56
Dota 2,20,421114.2
Dota 2,19,393860.32
Dota 2,18,366606.49
Dota 2,17,348246.37
Dota 2,16,329677.64
Dota 2,15,312424.76
Dota 2,14,330720.07
Dota 2,13,237800.08
Dota 2,12,210224.82
Dota 2,11,194363.84
Dota 2,10,174835.73
Dota 2,9,180878.9
Dota 2,8,166972.97
Dota 2,7,147748.14
Dota 2,6,121924.42
Dota 2,5,101077.43
Dota 2,4,75965.44
Dota 2,3,61867.68
Dota 2,2,55768.61
Dota 2,1,52721.05
PLAYERUNKNOWN'S BATTLEGROUNDS,48,198957.52
PLAYERUNKNOWN'S BATTLEGROUNDS,47,201247.19
PLAYERUNKNOWN'S BATTLEGROUNDS,46,189233.58
PLAYERUNKNOWN'S BATTLEGROUNDS,45,179520.26
PLAYERUNKNOWN'S BATTLEGROUNDS,44,162585.64
PLAYERUNKNOWN'S BATTLEGROUNDS,43,169093.71
PLAYERUNKNOWN'S BATTLEGROUNDS,42,192492.61
PLAYERUNKNOWN'S BATTLEGROUNDS,41,211700.3
PLAYERUNKNOWN'S BATTLEGROUNDS,40,230329.74
PLAYERUNKNOWN'S BATTLEGROUNDS,39,243258.78
PLAYERUNKNOWN'S BATTLEGROUNDS,38,242847.28
PLAYERUNKNOWN'S BATTLEGROUNDS,37,228467.17
PLAYERUNKNOWN'S BATTLEGROUNDS,36,257584.32
PLAYERUNKNOWN'S BATTLEGROUNDS,35,275363.04
PLAYERUNKNOWN'S BATTLEGROUNDS,34,308445.45
PLAYERUNKNOWN'S BATTLEGROUNDS,33,305659.39
PLAYERUNKNOWN'S BATTLEGROUNDS,32,287133.41
PLAYERUNKNOWN'S BATTLEGROUNDS,31,311444.31
PLAYERUNKNOWN'S BATTLEGROUNDS,30,358530.96
PLAYERUNKNOWN'S BATTLEGROUNDS,29,352888.88
PLAYERUNKNOWN'S BATTLEGROUNDS,28,363083.37
PLAYERUNKNOWN'S BATTLEGROUNDS,27,385840.59
PLAYERUNKNOWN'S BATTLEGROUNDS,26,390100.9
PLAYERUNKNOWN'S BATTLEGROUNDS,25,417812.51
PLAYERUNKNOWN'S BATTLEGROUNDS,24,437959.1
PLAYERUNKNOWN'S BATTLEGROUNDS,23,497803.25
PLAYERUNKNOWN'S BATTLEGROUNDS,22,473541.26
