gamenameID,Period,avg
1,104,741013.24
1,103,743209.66
1,102,717803.75
1,101,668754.58
1,100,613666.69
1,99,606850.32
1,98,639957.66
1,97,625900.81
1,96,671647.46
1,95,768795.25
1,94,857604.22
1,93,671033.29
1,92,543979.15
1,91,501196
1,90,456701.56
1,89,426080.81
1,88,408995.31
1,87,410925.6
1,86,415097.3
1,85,393782.83
1,84,389376.72
1,83,364417.31
1,82,351989.92
1,81,390240.16
1,80,371358.96
1,79,401366.87
1,78,395509.26
1,77,310085.43
1,76,325907.82
1,75,333163.99
1,74,283531.31
1,73,273307.26
1,72,266862.24
1,71,262170.88
1,70,289076.7
1,69,354270.33
1,68,382457.1
1,67,382030.53
1,66,340876.88
1,65,321131.4
1,64,341861.26
1,63,354402.09
1,62,374425.69
1,61,377589.04
1,60,374388.04
1,59,371829.34
1,58,392199.19
1,57,386908.72
1,56,402385.71
1,55,393109.53
1,54,342195.7
1,53,329045.26
1,52,333076.46
1,51,322525.89
1,50,347229.25
1,49,353777.56
1,48,334311.06
1,47,338738.39
1,46,375795.87
1,45,379426.95
1,44,376285.02
1,43,365371.09
1,42,377447.11
1,41,360925.88
1,40,362766.09
1,39,355905.33
1,38,357535.24
1,37,329532.38
1,36,344156.01
1,35,317286.29
1,34,291748.74
1,33,267996.31
1,32,239934.64
1,31,234070.68
1,30,183589.5
1,29,147329.07
1,28,133537.7
1,27,131034.68
1,26,133185.79
1,25,106138
1,24,84163.62
1,23,84925.02
1,22,78880.53
1,21,70143.33
1,20,59791.37
1,19,55627.35
1,18,46788.27
1,17,29890.52
1,16,27902.14
1,15,27678.91
1,14,25961.85
1,13,20492.52
1,12,18119.84
1,11,18710.34
1,10,16006
1,9,15959.89
1,8,17372.73
1,7,16164.22
1,6,14079.39
1,5,14134.1
1,4,10739.48
1,3,16000.75
1,2,15475.39
1,1,932.57
2,104,404832.13
2,103,432671.65
2,102,422552.32
2,101,425904.83
2,100,406361.36
2,99,408609.78
2,98,429717.12
2,97,450213.99
2,96,457184.42
2,95,484189.02
2,94,493300.27
2,93,437147.36
2,92,405978.65
2,91,378925.43
2,90,384179.76
2,89,401931.8
2,88,388355.86
2,87,421971.24
2,86,467148.29
2,85,464787.61
2,84,507528.44
2,83,548523.18
2,82,520218.98
2,81,586505.85
2,80,564909.67
2,79,475747
2,78,439367.83
2,77,461073.48
2,76,431173.91
2,75,466470.74
2,74,476101.08
2,73,441714.35
2,72,473900
2,71,474325.87
2,70,430340.94
2,69,437262.35
2,68,438847.72
2,67,486861.91
2,66,513074.33
2,65,487381.24
2,64,466126.79
2,63,491450.16
2,62,556496.3
2,61,498444.38
2,60,555289.07
2,59,567526.42
2,58,540278.03
2,57,548435.44
2,56,591567.25
2,55,580281.47
2,54,593920.6
2,53,584251.33
2,52,639355.14
2,51,622583.9
2,50,666013.05
2,49,638212.65
2,48,640226.98
2,47,623798.67
2,46,656944.37
2,45,672554.89
2,44,709178.26
2,43,612174.78
2,42,573344.25
2,41,539536.33
2,40,521941.72
2,39,508156.85
2,38,606943.98
2,37,554991.01
2,36,568448.32
2,35,580348.42
2,34,526061.73
2,33,571713.15
2,32,628970.41
2,31,558504.33
2,30,523940.32
2,29,528789.8
2,28,495693.04
2,27,477998.45
2,26,490883.89
2,25,537018.66
2,24,513783.06
2,23,482387.24
2,22,421710.21
2,21,409755.56
2,20,421114.2
2,19,393860.32
2,18,366606.49
2,17,348246.37
2,16,329677.64
2,15,312424.76
2,14,330720.07
2,13,237800.08
2,12,210224.82
2,11,194363.84
2,10,174835.73
2,9,180878.9
2,8,166972.97
2,7,147748.14
2,6,121924.42
2,5,101077.43
2,4,75965.44
2,3,61867.68
2,2,55768.61
2,1,52721.05
3,48,198957.52
3,47,201247.19
3,46,189233.58
3,45,179520.26
3,44,162585.64
3,43,169093.71
3,42,192492.61
3,41,211700.3
3,40,230329.74
3,39,243258.78
3,38,242847.28
3,37,228467.17
3,36,257584.32
3,35,275363.04
3,34,308445.45
3,33,305659.39
3,32,287133.41
3,31,311444.31
3,30,358530.96
3,29,352888.88
3,28,363083.37
3,27,385840.59
3,26,390100.9
3,25,417812.51
3,24,437959.1
3,23,497803.25
3,22,473541.26
3,21,418159.48
3,20,469141.74
3,19,542607.05
3,18,619320.48
3,17,688620.42
3,16,800668.23
3,15,876180.64
3,14,1107181.8
3,13,1295408.59
3,12,1391015.3
3,11,1584886.77
3,10,1436158.51
3,9,1334170.09
3,8,1086638.87
3,7,660192.74
3,6,389527.42
3,5,229701.7
3,4,139902.24
3,3,107441.6
3,2,69794.98
3,1,17551.14
4,4,120982.64
4,3,71766.74
4,2,64469.75
4,1,74957.26
5,87,117742.27
5,86,142117.25
5,85,61171.65
5,84,55408.03
5,83,48550.8
5,82,46430.53
5,81,53287.65
5,80,58238.72
5,79,50417.72
5,78,57344.65
5,77,67504.05
5,76,58442.03
5,75,50075.2
5,74,51620.39
5,73,49094.84
5,72,43507.96
5,71,46704.38
5,70,49636.12
5,69,58531.24
5,68,62259.96
5,67,45132.57
5,66,35780.66
5,65,38200.78
5,64,40725.29
5,63,42431.42
5,62,46201.3
5,61,42622.28
5,60,37706.36
5,59,31820.22
5,58,27319.2
5,57,31488.28
5,56,36659.19
5,55,30308.9
5,54,23893.78
5,53,26047.04
5,52,29074.81
5,51,33507.28
5,50,34668.81
5,49,32974
5,48,28147.23
5,47,25760.5
5,46,21595.41
5,45,25558.02
5,44,29563.1
5,43,29285.43
5,42,25380.27
5,41,28588.81
5,40,32438.98
5,39,36403.55
5,38,33999.91
5,37,28974.92
5,36,22879.2
5,35,24406.17
5,34,26269.79
5,33,30432.53
5,32,30949.75
5,31,25360.97
5,30,25497.88
5,29,25605.94
5,28,27267.6
5,27,32394.57
5,26,27647.06
5,25,18474.06
5,24,13061.63
5,23,13106.11
5,22,12410.86
5,21,14870.06
5,20,13817.71
5,19,13735.65
5,18,13819.82
5,17,8136.74
5,16,8270.49
5,15,9372.69
5,14,10591.06
5,13,6151.4
5,12,5384.12
5,11,6372.55
5,10,6346.7
5,9,8740.55
5,8,10132.47
5,7,11938.23
5,6,13150.96
5,5,17658.98
5,4,24874.13
5,3,34753.45
5,2,24874.82
5,1,9205.77
6,104,101230.91
6,103,83148.17
6,102,82423.51
6,101,70304.79
6,100,73594.08
6,99,68866.24
6,98,66943.58
6,97,69301.89
6,96,65169.91
6,95,66393.8
6,94,67187.12
6,93,67978.93
6,92,60109.05
6,91,59597.88
6,90,61695.9
6,89,50315.89
6,88,51993.93
6,87,48332.88
6,86,45544.88
6,85,49538.99
6,84,43002.54
6,83,39076.92
6,82,42505.05
6,81,45940.01
6,80,47707.59
6,79,50511.29
6,78,50592.4
6,77,53084.17
6,76,48766.22
6,75,41002.12
6,74,43632.35
6,73,46149.36
6,72,44207.43
6,71,38847.02
6,70,39180.46
6,69,36781.88
6,68,37715.11
6,67,53432.1
6,66,51816.11
6,65,52270.09
6,64,54963.29
6,63,50985.18
6,62,52992.48
6,61,51861.41
6,60,52408.06
6,59,50126.01
6,58,51733.52
6,57,49483.19
6,56,51787.36
6,55,52436.19
6,54,50140.76
6,53,46904.24
6,52,45910.06
6,51,48541.21
6,50,53742.49
6,49,54459.35
6,48,51362.73
6,47,49804.41
6,46,51434.75
6,45,52754.37
6,44,52864.72
6,43,52763.52
6,42,52972.94
6,41,52145.23
6,40,55256.59
6,39,55776.77
6,38,60484.79
6,37,60778.74
6,36,56344.56
6,35,55586.91
6,34,54533.01
6,33,54117.72
6,32,56469.57
6,31,58550.38
6,30,58391.58
6,29,56732.74
6,28,57976.98
6,27,55091.58
6,26,59228.78
6,25,56704.31
6,24,53342.72
6,23,47900.26
6,22,49671.2
6,21,49145.6
6,20,49817.43
6,19,50662.31
6,18,47901.53
6,17,44536.35
6,16,42808.16
6,15,43714.36
6,14,50324.72
6,13,48700.77
6,12,50739.88
6,11,44632.91
6,10,41942.51
6,9,43336.2
6,8,43210.75
6,7,44255.06
6,6,43623.98
6,5,42498.53
6,4,46978.7
6,3,50699.07
6,2,61561.37
6,1,45566.9
7,71,90647.64
7,70,101250.59
7,69,106914.27
7,68,76718.34
7,67,67193.03
7,66,68047.03
7,65,88398.36
7,64,83654.72
7,63,99752.85
7,62,141369.88
7,61,126086.73
7,60,116386.37
7,59,142724.48
7,58,111300.2
7,57,97777.69
7,56,68842.93
7,55,58656.08
7,54,66131.62
7,53,97648
7,52,92617.62
7,51,56717.73
7,50,55410.52
7,49,48502.28
7,48,60229.66
7,47,58124.22
7,46,59851.2
7,45,55641.33
7,44,43009.38
7,43,43265.97
7,42,49147.67
7,41,68312.15
7,40,80395.34
7,39,48927.49
7,38,41278.73
7,37,42779.52
7,36,46028.18
7,35,53395.68
7,34,77566.84
7,33,78066.93
7,32,41915.16
7,31,39774.46
7,30,45842.92
7,29,54028.65
7,28,60840.07
7,27,60285.4
7,26,42879.64
7,25,49108.33
7,24,48616.89
7,23,53270.99
7,22,63178.67
7,21,61843.72
7,20,42991.3
7,19,42084.49
7,18,31643.93
7,17,38791.87
7,16,45166.12
7,15,40152.83
7,14,25230.19
7,13,31671.3
7,12,34000.43
7,11,40013.1
7,10,46993.33
7,9,43874.72
7,8,34465.84
7,7,30924.76
7,6,25387.81
7,5,30918.06
7,4,37657.07
7,3,46953.24
7,2,93361.62
7,1,192714.01
8,63,72382.76
8,62,77717.42
8,61,70721.5
8,60,55307.46
8,59,62956.21
8,58,75543.34
8,57,68205.26
8,56,76279.2
8,55,70200.51
8,54,80099.3
8,53,108514.57
8,52,119877.88
8,51,97667.34
8,50,94185.78
8,49,78228.73
8,48,66499.28
8,47,65632.48
8,46,77922.76
8,45,73956.28
8,44,77411.07
8,43,78059.34
8,42,59172.09
8,41,61351.45
8,40,69588.02
8,39,72997.66
8,38,79175.76
8,37,70865.32
8,36,57902.93
8,35,62428.64
8,34,73676.87
8,33,73816.38
8,32,68241
8,31,66376.81
8,30,63092.81
8,29,64263.44
8,28,83112.29
8,27,68796.24
8,26,63474.82
8,25,59411.66
8,24,41483.67
8,23,31618.81
8,22,36448.87
8,21,33923.18
8,20,28378.64
8,19,24083.72
8,18,23804.07
8,17,24975.95
8,16,26079.63
8,15,30568.27
8,14,20706.7
8,13,17176.87
8,12,15355.49
8,11,10591.93
8,10,10411.69
8,9,13971.23
8,8,10854.23
8,7,9002.74
8,6,7069.7
8,5,7643.56
8,4,6125.46
8,3,9263.47
8,2,10244.29
8,1,7941.45
9,69,53723.01
9,68,59449.16
9,67,65765.07
9,66,67550.39
9,65,72355.61
9,64,53108.19
9,63,41201.98
9,62,41893.27
9,61,41136.6
9,60,45615.55
9,59,54133.15
9,58,48445.13
9,57,40592.15
9,56,41923.12
9,55,39973.71
9,54,32519.97
9,53,33048.79
9,52,30338.37
9,51,31006.72
9,50,34768.81
9,49,35466.57
9,48,34608.96
9,47,32594.36
9,46,31435.93
9,45,31841.03
9,44,34320.88
9,43,35315.53
9,42,32858.99
9,41,34714.24
9,40,35890.2
9,39,30807.02
9,38,36623.52
9,37,32067.31
9,36,27809.87
9,35,30214.75
9,34,31200.08
9,33,32428.13
9,32,32583.13
9,31,35983.93
9,30,30787.97
9,29,36249.81
9,28,31315.43
9,27,30287.68
9,26,35005.62
9,25,32661.75
9,24,33273.94
9,23,34683.2
9,22,33763.69
9,21,33265.25
9,20,35232.83
9,19,35187.88
9,18,29231.05
9,17,31774.27
9,16,32689.19
9,15,27556.29
9,14,29447.91
9,13,26120.83
9,12,25541.31
9,11,29199.3
9,10,24542.79
9,9,25698.97
9,8,24187.59
9,7,20397.42
9,6,16276.41
9,5,16709.27
9,4,17439.88
9,3,19144.34
9,2,10789.62
9,1,1.92
10,89,46919.9
10,88,47685.61
10,87,12697.63
10,86,17842.89
10,85,38437.27
10,84,32050.11
10,83,18829.49
10,82,34840.9
10,81,30079.25
10,80,18854.3
10,79,39235.06
10,78,42332.85
10,77,17581.66
10,76,39978.76
10,75,41688.04
10,74,12076.74
10,73,14907.46
10,72,25260.17
10,71,10943.65
10,70,26414.26
10,69,48491.09
10,68,13104.09
10,67,18953.84
10,66,35984.73
10,65,14212.75
10,64,36766.27
10,63,51321.88
10,62,14546.23
10,61,19520.61
10,60,36108.86
10,59,13004.31
10,58,19985.68
10,57,42051.05
10,56,15657
10,55,21416.57
10,54,36504.62
10,53,12815.64
10,52,26181.87
10,51,30957.38
10,50,10933.53
10,49,14870.82
10,48,28679.63
10,47,46477.36
10,46,9032.2
10,45,10099.82
10,44,10923.39
10,43,17342.3
10,42,28219.33
10,41,10793.92
10,40,16478.72
10,39,23766
10,38,8549.98
10,37,11993.74
10,36,16543.96
10,35,5043.76
10,34,7425.06
10,33,11733.93
10,32,5700.75
10,31,10619.47
10,30,16752.61
10,29,5953.71
10,28,9702.54
10,27,9699.81
10,26,4745.88
10,25,5819.86
10,24,5676.56
10,23,11254.87
10,22,13529.23
10,21,4032.39
10,20,5417.41
10,19,5249.5
10,18,4873.11
10,17,5473.61
10,16,7171.77
10,15,6516.11
10,14,4336.33
10,13,5839.72
