Period,C1,C2,C3,C4,C5,C6,C7,ALL
1,0.0124263,0.201739788,0.006941968,0.025087346,0.022845134,0.07422652,0.019415405,0.041763003
2,0.024303726,0.265348846,0.012339307,0.047610501,0.044964608,0.131812911,0.03373136,0.068637494
3,0.033641861,0.302104324,0.017038303,0.066091286,0.065794355,0.17064227,0.045316033,0.088558338
4,0.042061789,0.332354857,0.021411841,0.085582163,0.088851785,0.202237408,0.05637217,0.106924353
5,0.049537861,0.35857728,0.026323046,0.103127083,0.113604825,0.230401835,0.067724674,0.124816272
6,0.057083751,0.383079392,0.032266188,0.119736087,0.142372162,0.258420409,0.079928264,0.143855981
7,0.064862304,0.405029393,0.038218854,0.136118885,0.170116753,0.285394886,0.093745697,0.16277263
8,0.072934838,0.423835803,0.044190851,0.152481077,0.194090119,0.311753491,0.106204388,0.180088486
9,0.082179977,0.444655535,0.05115072,0.16935692,0.221245523,0.334283778,0.118215328,0.197554084
10,0.091179525,0.464912145,0.0575025,0.186663878,0.246686567,0.356884315,0.131005761,0.214764633
11,0.100015558,0.485276958,0.064441148,0.204779098,0.2750374,0.37893412,0.14398224,0.232708364
12,0.109222554,0.503449703,0.071317065,0.222567435,0.301116475,0.40101061,0.158772231,0.250530182
13,0.11877293,0.523885552,0.078979464,0.241850507,0.331336543,0.424075267,0.175233191,0.270330233
14,0.129167175,0.54051255,0.087471197,0.262016159,0.359061119,0.444821422,0.192725414,0.289333398
15,0.140124631,0.556269607,0.096084786,0.28136773,0.382343703,0.463300803,0.208240225,0.306216333
16,0.150872834,0.572717616,0.105006568,0.301744317,0.40600187,0.480515486,0.223932667,0.323121571
17,0.161641507,0.588892983,0.114155954,0.320753124,0.429124539,0.497244656,0.241580517,0.340376851
18,0.172231218,0.603765188,0.124164414,0.341680608,0.453574858,0.51369818,0.259890986,0.35819446
19,0.183663524,0.617211966,0.133468922,0.361909454,0.475989387,0.530367847,0.278806107,0.375552234
20,0.195877247,0.630287479,0.145212304,0.380726966,0.496421752,0.546402601,0.297462118,0.392572226
21,0.21004849,0.642864117,0.155464651,0.39742408,0.516853114,0.562452671,0.316564471,0.409399972
22,0.225107858,0.655768326,0.166567051,0.412944186,0.535958856,0.576909097,0.335711236,0.425749302
23,0.238959772,0.668806111,0.179563376,0.42923822,0.555303998,0.591359423,0.355726638,0.442744388
24,0.253678598,0.680218189,0.193929438,0.44573802,0.57455555,0.606384727,0.379743082,0.461175476
25,0.269678814,0.693640537,0.208002675,0.461913077,0.593176599,0.621670103,0.400423898,0.478584439
26,0.286503698,0.706059077,0.222974869,0.478334037,0.610497735,0.636536266,0.420299184,0.495458746
27,0.303744664,0.71680265,0.237987718,0.49416997,0.626255214,0.652153611,0.439917557,0.511922105
28,0.321598414,0.727637077,0.253809475,0.509118923,0.642582396,0.667240199,0.459251056,0.528428494
29,0.339057736,0.738650912,0.270519551,0.523578057,0.659133981,0.680917127,0.478827434,0.544913961
30,0.356208034,0.749053954,0.288167087,0.539489143,0.67531274,0.693780656,0.499621405,0.56168453
