Period,C1,C2,C3,C4,C5,C6,C7,ALL
1,0.0124263,0.201739788,0.006941968,0.025087346,0.022845134,0.07422652,0.019415405,0.041763003
2,0.011877426,0.063609058,0.005397339,0.022523155,0.022119474,0.057586391,0.014315955,0.026874491
3,0.009338135,0.036755478,0.004698996,0.018480785,0.020829747,0.038829359,0.011584673,0.019920844
4,0.008419928,0.030250533,0.004373538,0.019490877,0.02305743,0.031595138,0.011056137,0.018366015
5,0.007476072,0.026222423,0.004911205,0.01754492,0.02475304,0.028164427,0.011352504,0.017891918
6,0.00754589,0.024502112,0.005943142,0.016609004,0.028767337,0.028018574,0.01220359,0.01903971
7,0.007778553,0.021950001,0.005952666,0.016382798,0.027744591,0.026974477,0.013817433,0.018916648
8,0.008072534,0.01880641,0.005971997,0.016362192,0.023973366,0.026358605,0.012458691,0.017315856
9,0.009245139,0.020819732,0.006959869,0.016875843,0.027155404,0.022530287,0.01201094,0.017465598
10,0.008999548,0.02025661,0.00635178,0.017306958,0.025441044,0.022600537,0.012790433,0.017210549
11,0.008836033,0.020364813,0.006938648,0.01811522,0.028350833,0.022049805,0.012976479,0.01794373
12,0.009206996,0.018172745,0.006875917,0.017788337,0.026079075,0.02207649,0.014789991,0.017821818
13,0.009550376,0.020435849,0.007662399,0.019283072,0.030220068,0.023064657,0.01646096,0.019800051
14,0.010394245,0.016626998,0.008491733,0.020165652,0.027724576,0.020746155,0.017492223,0.019003165
15,0.010957456,0.015757057,0.008613589,0.019351571,0.023282584,0.018479381,0.015514811,0.016882935
16,0.010748203,0.016448009,0.008921782,0.020376587,0.023658167,0.017214683,0.015692442,0.016905238
17,0.010768673,0.016175367,0.009149386,0.019008807,0.023122669,0.01672917,0.01764785,0.01725528
18,0.010589711,0.014872205,0.01000846,0.020927484,0.024450319,0.016453524,0.018310469,0.017817609
19,0.011432306,0.013446778,0.009304508,0.020228846,0.022414529,0.016669667,0.018915121,0.017357775
20,0.012213723,0.013075513,0.011743382,0.018817512,0.020432365,0.016034754,0.018656011,0.017019992
21,0.014171243,0.012576638,0.010252347,0.016697114,0.020431362,0.01605007,0.019102353,0.016827747
22,0.015059368,0.012904209,0.0111024,0.015520106,0.019105742,0.014456426,0.019146765,0.01634933
23,0.013851914,0.013037785,0.012996325,0.016294034,0.019345142,0.014450326,0.020015402,0.016995086
24,0.014718826,0.011412078,0.014366062,0.0164998,0.019251552,0.015025304,0.024016444,0.018431088
25,0.016000216,0.013422348,0.014073237,0.016175057,0.018621049,0.015285376,0.020680816,0.017408962
26,0.016824884,0.01241854,0.014972194,0.01642096,0.017321136,0.014866163,0.019875286,0.016874307
27,0.017240966,0.010743573,0.015012849,0.015835933,0.015757479,0.015617345,0.019618373,0.016463359
28,0.01785375,0.010834427,0.015821757,0.014948953,0.016327182,0.015086588,0.019333499,0.016506388
29,0.017459322,0.011013835,0.016710076,0.014459134,0.016551585,0.013676928,0.019576378,0.016485467
30,0.017150298,0.010403042,0.017647536,0.015911086,0.016178759,0.012863529,0.020793971,0.016770569
31,0.017719195,0.010563684,0.018676857,0.015237189,0.015258503,0.013455281,0.020284315,0.016676681
32,0.019182454,0.010356842,0.017875646,0.016124116,0.013688552,0.012661416,0.01951477,0.015833638
33,0.021291299,0.010334896,0.019206243,0.01470718,0.013316565,0.012558561,0.018990067,0.015741888
34,0.020840294,0.009686999,0.018006683,0.013763584,0.013457971,0.011503926,0.019236649,0.015369721
35,0.01957841,0.009553448,0.019057079,0.014066066,0.013401549,0.011715828,0.020488486,0.015939911
36,0.019055144,0.009292227,0.02178453,0.01469045,0.013253004,0.011932488,0.021004773,0.01653817
37,0.019341193,0.009582075,0.021689746,0.01711581,0.012553949,0.010997068,0.019486722,0.015827078
38,0.02113253,0.008786115,0.02719293,0.01547921,0.012138183,0.011571551,0.018107286,0.016191191
39,0.020503089,0.00828554,0.022216383,0.015061636,0.012044525,0.011487388,0.016543751,0.014834603
40,0.02110063,0.008040276,0.022984354,0.014193305,0.011828065,0.010459924,0.01730671,0.014894444
41,0.019704164,0.008672511,0.02483989,0.014164483,0.011541016,0.010003807,0.017690014,0.015181779
42,0.019229964,0.007989859,0.024948088,0.015137702,0.01156464,0.009890903,0.018613445,0.015449524
