"","multi.km$cluster","avg","gain","peak","achievements","positive_ratings","negative_ratings","average_playtime"
"100% Orange Juice",6,205.980120481928,3.35602409638554,577.578313253012,152,10605,794,1678
"7 Days to Die",3,9498.89255813953,222.675,17396.1744186047,43,60718,16905,2953
"Age of Empires II: Definitive Edition",6,14660.456,293.088666666667,27109.6,154,58190,4112,1604
"Age of Empires III: Definitive Edition",3,3586.335,-1122.3825,7195.5,42,9154,1801,902
"Age of Mythology: Extended Edition",3,1070.27012195122,21.7120731707317,2500.5,70,9336,1577,668
"Age of Wonders III",3,707.008265306122,4.80979591836735,1914.10204081633,74,4479,1132,984
"AirMech Strike",3,157.142718446602,0.33504854368932,359.242718446602,91,7640,1440,441
"Alien Swarm",3,124.42145631068,-3.02728155339806,406.038834951456,66,17435,941,371
"Alien Swarm: Reactive Drop",6,297.102857142857,5.96979591836735,861.510204081633,143,7629,527,117
"Aliens vs. Predator",3,103.099223300971,-1.27757281553398,284.223300970874,50,9448,1186,170
"America's Army: Proving Grounds",3,504.498202247191,-11.6596629213483,994.393258426966,98,6413,1902,89
"Anno 2070",3,431.495339805825,-13.8598058252427,1331.15533980583,0,5653,3686,879
"APB Reloaded",3,1346.5186407767,-20.638640776699,2497.11650485437,60,20028,11779,3835
"Apex Legends",1,85739.71,15341.7966666667,146267.666666667,12,165549,16372,22494
"Aragami",3,54.3344827586207,0.785689655172414,216.672413793103,51,3815,458,199
"ArcheAge",3,864.509230769231,-23.3430769230769,1500.84615384615,0,3195,3033,2107
"Argo",3,150.3468,0.174799999999999,402.5,0,4438,4973,182
"Arizona Sunshine",3,105.187313432836,1.8555223880597,309.432835820896,42,3164,550,128
"ARK: Survival Evolved",5,42760.0663768116,895.366666666667,73980.3043478261,32,145035,66603,14154
"Arma 2: Operation Arrowhead",3,2804.5740776699,-31.3826213592233,5514.06796116505,0,17683,1519,8488
"Arma 3",5,15452.4507368421,107.269157894737,32066.9263157895,104,105034,12524,18823
"Assassin's Creed Revelations",3,172.388349514563,-11.0470873786408,422.864077669903,0,5912,1055,1153
"Assassin's Creed Unity",3,485.3168,-24.7642666666667,1355.25333333333,0,12350,7354,1686
"Atlas Reactor",3,202.355818181818,-1.828,460.472727272727,121,3992,890,1240
"Avorion",3,681.174897959184,6.79938775510204,1323.55102040816,55,3190,398,3584
"Baldur's Gate II: Enhanced Edition",3,398.310574712644,-5.32804597701149,773.298850574713,93,2600,423,1163
"Baldur's Gate: Enhanced Edition",3,469.857551020408,5.7369387755102,1032.38775510204,129,4148,688,569
"Ballistic Overkill",3,64.8875362318841,0.350434782608696,183.173913043478,45,4645,1475,869
"BATTALION 1944",3,220.868039215686,0.0566666666666714,904.450980392157,0,3869,3623,639
"BattleBlock Theater",3,477.305061728395,-6.72876543209876,1761.71604938272,30,47342,1290,774
"Battlefield 4 ",3,1213.895,153.175,3039.75,67,8504,1408,1200
"Battlefield V",3,2700.08625,688.1975,7694.125,21,10145,7514,1008
"Battlefield: Bad Company 2",3,443.303689320388,-6.18747572815534,1168.15533980583,0,23093,3877,1200
"Battlerite",3,2142.39056603774,-95.0949056603773,5321.01886792453,0,41080,8013,1614
"BATTLETECH",6,3008.72351351351,52.0743243243243,5930.32432432432,128,8238,2953,1641
"Beasts of Bermuda",3,582.639615384615,30.0511538461538,1004.5,0,311,171,0
"Besiege",3,669.8575,-44.5134722222222,1539.27777777778,26,25880,1364,644
"Binary Domain",3,22.1744660194175,-0.540097087378641,80.2427184466019,49,4416,742,639
"Black Mesa",3,380.389275362319,3.36405797101449,990.333333333333,25,14113,999,715
"Black Squad",3,4153.72422222222,31.9773333333333,7352.97777777778,36,33695,11081,1835
