"","single.km$cluster","avg","gain","peak","achievements","positive_ratings","negative_ratings","average_playtime"
"12 is Better Than 6",4,25.5280952380952,-0.198095238095238,238.603174603175,46,3192,576,228
"140",4,4.96125,-0.199318181818182,23.9659090909091,8,3398,241,205
"60 Seconds!",4,72.414347826087,0.0759420289855071,218.507246376812,56,5528,1492,231
"911 Operator",4,117.098518518519,2.15,424.222222222222,18,3529,697,257
"A Dance of Fire and Ice",4,444.4484,56.8944,1218.64,20,1451,119,180
"A Hat in Time",4,277.827457627119,4.82084745762712,813.762711864407,37,14019,292,377
"A Story About My Uncle",4,110.579012345679,0.288518518518521,2729.67901234568,15,17924,1642,193
"Absolver",4,141.5228,1.5092,922.4,22,6395,3283,796
"ABZU",4,43.2870909090909,0.306363636363637,151.654545454545,12,15634,1233,116
"ACE COMBAT 7: SKIES UNKNOWN",4,484.844166666667,-113.582083333333,1237.625,49,4643,1623,1029
"AdVenture Capitalist",3,3173.66914285714,-132.166857142857,6083.77142857143,31,35093,4214,2747
"Aim Lab",4,1030.91282051282,152.050512820513,1479.28205128205,100,1039,247,40
"Alan Wake",4,165.238155339806,-5.28796116504854,555.194174757282,67,22962,2163,239
"Alan Wake's American Nightmare",4,20.2496116504854,-0.930097087378641,66.8349514563107,12,3598,1468,71
"Albion Online",3,3875.27454545455,201.335757575758,6453.06060606061,93,1800,1420,448
"Alien: Isolation",4,321.339342105263,-30.2722368421053,1021.75,50,24534,1958,563
"Alpha Protocol",4,24.9599029126214,-0.195533980582524,72.8543689320388,0,3113,785,267
"American Truck Simulator",3,3072.71544117647,91.8473529411765,5935.33823529412,43,25316,2096,2086
"Amnesia: A Machine for Pigs",4,23.4666292134831,-7.2123595505618,90.6292134831461,7,4336,2143,100
"Amnesia: The Dark Descent",4,115.665048543689,-4.6821359223301,399.621359223301,18,20222,1199,173
"Antichamber",4,56.2564356435644,0.207029702970297,245.732673267327,0,12232,612,176
"Armello",4,253.471095890411,2.84876712328767,668.547945205479,50,7208,1816,1145
"Art of War: Red Tides",4,150.465510204082,-38.4591836734694,321.408163265306,0,4858,1169,345
"Artifact",3,227.029230769231,-428.258461538462,531,0,9937,10501,1797
"Assassin's Creed Odyssey",3,8622.52892857143,-806.9375,19196.2142857143,82,20771,4528,3151
"Assassin's Creed Origins",3,2548.79179487179,-309.101282051282,6201.38461538462,67,31644,6007,2908
"Assassin's Creed Syndicate",4,497.709523809524,-21.0995238095238,1310.92063492063,0,7203,2391,564
"Assetto Corsa",3,1659.92090909091,51.5147727272727,3813.125,709,15277,2337,3107
"Assetto Corsa Competizione",4,879.749310344828,61.9089655172414,2713.89655172414,0,1744,278,0
"ASTRONEER",3,1386.0373015873,29.8230158730159,3193.63492063492,54,28375,5246,1213
"ATLAS",2,4309.14730769231,-1427.97153846154,8789.92307692308,0,8621,16359,2755
"Audiosurf 2",4,42.1767021276596,0.254148936170213,105.31914893617,14,3785,882,507
"Aura Kingdom",4,520.593703703704,2.86296296296296,818.148148148148,0,5666,1533,485
"Axiom Verge",4,33.3138571428571,0.321857142857143,108.014285714286,29,3084,187,377
"Banished",3,1531.18909090909,12.9202272727273,3399.86363636364,36,24653,2820,1209
"Bastion",4,145.453689320388,-8.63203883495146,510.174757281553,24,27887,1098,391
"Batman - The Telltale Series",4,72.0511111111111,-1.78240740740741,306.018518518519,30,5729,1783,385
"Batman: Arkham Knight",3,1173.35367647059,-181.3275,2677.75,113,33121,12981,1266
"Batman: Arkham Origins",4,611.742159090909,-137.931590909091,1557.59090909091,60,20365,3519,538
"Battle Brothers",4,629.390428571429,13.5601428571429,1335.24285714286,89,5181,709,0
